,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Tuktoyaktuk,40,CA,1547953200.0,83,69.44,-133.03,-7.599999999999952,3.6
1,Port Elizabeth,90,US,1547954460.0,93,39.31,-74.98,44.96000000000008,7.7
2,Batagay-Alyta,56,RU,1547956198.0,0,67.8,130.41,-43.558599999999956,1.21
3,Pevek,44,RU,1547956198.0,100,69.7,170.27,-22.453599999999966,2.91
4,Hithadhoo,88,MV,1547956133.0,100,-0.6,73.08,79.38140000000007,2.46
5,Castro,0,CL,1547953200.0,93,-42.48,-73.76,53.6,1.5
6,Goya,64,AR,1547956199.0,89,-29.14,-59.27,69.03140000000008,4.61
7,Tautira,40,PF,1547955000.0,66,-17.73,-149.15,84.2,5.1
8,Kodiak,1,US,1547955300.0,55,39.95,-94.76,10.04000000000002,2.1
9,Ushuaia,40,AR,1547953200.0,57,-54.81,-68.31,48.2,11.8
10,Qaanaaq,0,GL,1547956200.0,100,77.48,-69.36,-26.143599999999935,5.26
11,Makaha,90,US,1547955480.0,82,21.47,-158.22,80.06000000000009,3.6
12,Vaini,0,IN,1547953200.0,52,15.34,74.49,68.0,2.6
13,Albany,90,US,1547954220.0,79,42.65,-73.75,24.08000000000004,2.6
14,Okha,8,RU,1547956200.0,96,53.59,142.95,0.18140000000006395,8.16
15,Sechura,0,PE,1547956201.0,86,-5.56,-80.82,73.44140000000004,3.76
16,Rikitea,92,PF,1547956201.0,100,-23.12,-134.97,80.14640000000009,5.01
17,Nikolskoye,20,RU,1547955000.0,85,59.7,30.79,24.8,5.0
18,Alofi,92,NU,1547953200.0,83,-19.06,-169.92,84.2,3.6
19,Gijon,92,ES,1547953200.0,76,43.54,-5.66,50.0,3.6
20,Pisco,0,PE,1547953200.0,88,-13.71,-76.2,69.80000000000001,4.1
21,Mataura,92,NZ,1547956202.0,95,-46.19,168.86,55.30640000000007,11.31
22,Kapaa,1,US,1547952960.0,68,22.08,-159.32,80.06000000000009,5.7
23,Carauari,8,BR,1547956203.0,93,-4.88,-66.9,77.26640000000005,1.76
24,Tibati,8,CM,1547956203.0,61,6.47,12.63,61.831400000000066,1.16
25,Yellowknife,90,CA,1547954400.0,76,62.45,-114.38,-5.799999999999947,4.6
26,Hobart,75,AU,1547953200.0,36,-42.88,147.33,77.0,5.1
27,Sucua,76,EC,1547956204.0,97,-2.46,-78.17,63.18140000000007,1.66
28,Vostok,64,RU,1547956204.0,64,46.45,135.83,1.9814000000000647,1.41
29,Mildura,20,AU,1547953200.0,25,-34.18,142.16,86.0,3.6
30,Hilo,20,US,1547952780.0,68,19.71,-155.08,77.0,3.1
31,Mar del Plata,0,AR,1547955917.0,30,-46.43,-67.52,76.27820000000008,8.61
32,Maniitsoq,80,GL,1547956205.0,100,65.42,-52.9,16.831400000000066,2.96
33,Lagoa,20,PT,1547953200.0,87,37.14,-8.45,57.2,5.7
34,New Norfolk,75,AU,1547955000.0,31,-42.78,147.06,78.80000000000001,4.6
35,Busselton,0,AU,1547956205.0,66,-33.64,115.35,82.26140000000001,2.06
36,Puerto Ayora,92,EC,1547956205.0,100,-0.74,-90.35,77.26640000000005,3.41
37,Batsfjord,88,NO,1547956206.0,100,70.63,29.72,30.691400000000044,8.01
38,Faanui,32,PF,1547956206.0,100,-16.48,-151.75,83.79140000000004,5.16
39,Westport,92,IE,1547956206.0,100,53.8,-9.52,44.59640000000009,7.66
40,Half Moon Bay,75,US,1547952960.0,62,37.46,-122.43,62.06000000000009,1.5
41,Hommelvik,75,NO,1547952600.0,86,63.41,10.8,28.4,5.7
42,Tumut,0,AU,1547956207.0,53,-35.3,148.22,82.84640000000009,1.21
43,Avarua,75,CK,1547953200.0,79,-21.21,-159.78,84.2,1.0
44,Port Alfred,92,ZA,1547955916.0,100,-33.59,26.89,61.561400000000006,2.51
45,Dunedin,68,NZ,1547956020.0,56,-45.87,170.5,65.88140000000007,9.26
46,Ambilobe,92,MG,1547956031.0,99,-13.19,49.05,72.54140000000004,3.21
47,Botshabelo,0,ZA,1547953200.0,71,-29.23,26.73,55.400000000000006,2.1
48,Khakhea,0,BW,1547956208.0,23,-24.69,23.5,60.39140000000005,3.81
49,Aldan,64,RU,1547956208.0,68,58.61,125.39,-16.513599999999947,1.21
50,Bluff,0,AU,1547956080.0,38,-23.58,149.07,92.34140000000005,5.66
51,Hermanus,8,ZA,1547956208.0,96,-34.42,19.24,45.09140000000004,2.01
52,Touros,20,BR,1547953200.0,83,-5.2,-35.46,80.6,3.1
53,Okhotsk,64,RU,1547956036.0,100,59.36,143.24,-7.423599999999979,5.21
54,Mount Gambier,0,AU,1547953200.0,51,-37.83,140.78,80.6,5.7
55,Sitka,0,US,1547956209.0,79,37.17,-99.65,17.416400000000046,1.96
56,Stokmarknes,32,NO,1547956209.0,100,68.56,14.91,25.291400000000046,1.56
57,Nuuk,80,GL,1547952600.0,85,64.17,-51.74,17.6,4.1
58,Mahebourg,40,MU,1547953200.0,83,-20.41,57.7,78.80000000000001,1.5
59,Victoria,75,BN,1547953200.0,83,5.28,115.24,86.0,3.1
